issn,journal_name,oa_model,year,File,ISSN-L
2093-761X,International Journal of Sustainable Building Technology and Urban Development,Hybrid,2017,T&F OA List 2017,2093-761X
2150-7724,AJOB Primary Research,Hybrid,2013,T&F OA List 2013,2150-7724
2151-7495,Security Index: A Russian Journal on International Security,Hybrid,2015,T&F OA List 2015,NA
2156-5554,Spermatogenesis,Hybrid,2017,T&F OA List 2017,2156-5554
2156-7069,Research in Learning Technology,Open Access,2017,T&F OA List 2017,2156-7069
2157-3735,Engineering Project Organization Journal,Hybrid,2017,T&F OA List 2017,2157-3735
2157-7323,IIE Transactions on Occupational Ergonomics and Human Factors,Hybrid,2016,T&F OA List 2016,2157-7323
2159-2527,Biomatter,Open Access,2016,T&F OA List 2016,2159-2527
2159-7073,Bacteriophage,Hybrid,2016,T&F OA List 2016,2159-7073
2160-6099,Journal of Organic Semiconductors,Open Access,2017,T&F OA List 2017,2160-6099
2162-3988,JAK-STAT,Hybrid,2016,T&F OA List 2016,2162-3988
2162-4046,Worm,Hybrid,2017,T&F OA List 2017,2162-4046
2162-8130,Systems Biomedicine,Hybrid,2016,T&F OA List 2016,2162-8130
2164-2311,Nanoscience Methods,Open Access,2016,T&F OA List 2016,2164-2311
2164-8298,Food Economics,Hybrid,2015,T&F OA List 2015,NA
2164-9510,Quantitative Finance Letters,Open Access,2016,T&F OA List 2016,NA
2165-347X,Journal of Graphics Tools,Hybrid,2016,T&F OA List 2016,2165-347X
2165-9079,IntraVital,Hybrid,2016,T&F OA List 2016,2165-9079
2166-2630,Advances in Eating Disorders,Hybrid,2016,T&F OA List 2016,2166-2630
2166-5044,Disaster Health,Hybrid,2016,T&F OA List 2016,2166-5044
2167-5511,Rare Diseases,Open Access,2016,T&F OA List 2016,2167-5511
2169-0707,Intrinsically Disordered Proteins,Hybrid,2017,T&F OA List 2017,2169-0707
2324-9633,Immunomics,Hybrid,2016,T&F OA List 2016,NA
2325-6176,Chinese Medical Record English Edition,Closed Access,2016,T&F OA List 2016,2325-6176
2325-6214,Coevolution,Open Access,2015,T&F OA List 2015,2325-6214
2325-8020,International Affairs Forum,Hybrid,2015,T&F OA List 2015,2325-8020
2327-3747,Endocrine Disruptors,Open Access,2017,T&F OA List 2017,2327-3747
2331-0472,International Biomechanics,Open Access,2015,T&F OA List 2015,NA
2331-1835,Cogent Mathematics,Open Access,2017,T&F OA List 2017,2331-1835
2331-7000,Energy Technology & Policy,Open Access,2016,T&F OA List 2016,2331-7000
2372-3505,Vascularized Composite Allotransplantation,Hybrid,2017,T&F OA List 2017,2372-3505
2372-9775,Language Arts and Linguistics,Hybrid,2016,T&F OA List 2016,NA
2377-4655,Corrections,Hybrid,2016,T&F OA List 2016,NA
2470-8593,MYOPAIN,Hybrid,2017,T&F OA List 2017,2470-8593
2777-9640,Logistique & Management,Hybrid,2016,T&F OA List 2016,NA
NA,Anthropology Now,Closed Access,2016,T&F OA List 2016,NA
